identifier	altId	text	transType	isPunc	isPrimary
40001022021	saying-1	saying	k	False	True
40001022022	,-2	,		True	False
40001023001	“-1	“		True	False
40001023002	Behold-1	Behold	k	False	True
40001023003	,-1	,		True	False
40001023004	the-1	the	k	False	True
40001023005	virgin-1	virgin	k	False	True
40001023006	[-1	[		True	False
40001023007	will-1	will	m	False	False
40001023008	become-1	become	k	False	False
40001023009	pregnant-1	pregnant	k	False	True
40001023010	]-1	]		True	False
40001023011	and-1	and	k	False	True
40001023012	will-2	will	m	False	False
40001023013	give-1	give	k	False	False
40001023014	birth-1	birth	k	False	True
40001023015	to-1	to	k	False	False
40001023016	a-1	a	m	False	False
40001023017	son-1	son	k	False	True
40001023018	,-2	,		True	False
40001023019	and-2	and	k	False	True
40001023020	they-1	they	m	False	False
40001023021	will-2	will	m	False	False
40001023022	call-1	call	k	False	True
40001023023	his-1	his	k	False	True
40001023024	name-1	name	k	False	True
40001023025	Emmanuel-1	Emmanuel	k	False	True
40001023026	,-2	,		True	False
40001023027	”-1	”		True	False
40001023028	which-1	which	k	False	True
40001023029	is-1	is	k	False	True
40001023030	translated-1	translated	k	False	True
40001023031	,-2	,		True	False
40001023032	“-2	“		True	False
40001023033	God-1	God	k	False	True
40001023034	with-1	with	k	False	True
40001023035	us-1	us	k	False	True
40001023036	.-1	.		True	False
40001023037	”-2	”		True	False
40001024001	And-1	And	k	False	True
40001024002	Joseph-1	Joseph	k	False	True
40001024003	,-1	,		True	False
40001024004	{-1	{		True	False
40001024005	when-1	when	m	False	False
40001024006	he-1	he	k	False	False
40001024007	}-1	}		True	False
40001024008	woke-1	woke	k	False	True
40001024009	up-1	up	k	False	False
40001024010	from-1	from	k	False	True
40001024011	sleep-1	sleep	k	False	True
40001024012	,-2	,		True	False
40001024013	did-1	did	k	False	True
40001024014	as-1	as	k	False	True
40001024015	the-1	the	k	False	True
40001024016	angel-1	angel	k	False	True
40001024017	of-1	of	m	False	False
40001024018	the-2	the		False	False
40001024019	Lord-1	Lord	k	False	True
40001024020	commanded-1	commanded	k	False	True
40001024021	him-1	him	k	False	True
40001024022	,-2	,		True	False
40001024023	and-1	and	k	False	True
40001024024	he-2	he	m	False	False
40001024025	took-1	took	k	False	True
40001024026	his-1	his	k	False	True
40001024027	wife-1	wife	k	False	True
40001025001	and-1	and	k	False	True
40001025002	[-1	[		True	False
40001025003	did-1	did	m	False	False
40001025004	not-1	not	k	False	True
40001025005	have-1	have	m	False	False
40001025006	sexual-1	sexual	k	False	True
40001025007	relations-1	relations	k	False	False
40001025008	with-1	with	k	False	False
40001025009	]-1	]		True	False
40001025010	her-1	her	k	False	True
40001025011	until-1	until	k	False	True
40001025012	she-1	she	m	False	False
40001025013	gave-1	gave	k	False	False
40001025014	birth-1	birth	k	False	True
40001025015	to-1	to	k	False	False
40001025016	a-1	a	m	False	False
40001025017	son-1	son	k	False	True
40001025018	.-1	.		True	False
40001025019	And-1	And	k	False	True
40001025020	he-1	he	m	False	False
40001025021	called-1	called	k	False	True
40001025022	his-1	his	k	False	True
40001025023	name-1	name	k	False	True
40001025024	Jesus-1	Jesus	k	False	True
40001025025	.-2	.		True	False
40002001001	Now-1	Now	k	False	True
40002001002	{-1	{		True	False
40002001003	after-1	after	m	False	False
40002001004	}-1	}		True	False
40002001005	Jesus-1	Jesus	k	False	True
40002001006	was-1	was	m	False	False
40002001007	born-1	born	k	False	True
40002001008	in-1	in	k	False	True
40002001009	Bethlehem-1	Bethlehem	k	False	True
40002001010	of-1	of	m	False	False
40002001011	Judea-1	Judea	k	False	True
40002001012	in-2	in	k	False	True
40002001013	the-1	the		False	False
40002001014	days-1	days	k	False	True
40002001015	of-2	of	m	False	False
40002001016	Herod-1	Herod	k	False	True
40002001017	the-2	the	k	False	True
40002001018	king-1	king	k	False	True
40002001019	,-1	,		True	False
40002001020	behold-1	behold	k	False	True
40002001021	,-2	,		True	False
40002001022	wise-1	wise	k	False	True
40002001023	men-1	men	k	False	False
40002001024	from-1	from	k	False	True
40002001025	the-2	the		False	False
40002001026	east-1	east	k	False	True
40002001027	came-1	came	k	False	True
40002001028	to-1	to	k	False	True
40002001029	Jerusalem-1	Jerusalem	k	False	True
40002001030	,-2	,		True	False
40002002001	saying-1	saying	k	False	True
40002002002	,-1	,		True	False
40002002003	“-1	“		True	False
40002002004	Where-1	Where	k	False	True
40002002005	is-1	is	k	False	True
40002002006	the-1	the	k	False	True
40002002007	one-1	one	k	False	False
40002002008	who-1	who	m	False	False
40002002009	has-1	has	m	False	False
40002002010	been-1	been	m	False	False
40002002011	born-1	born	k	False	True
40002002012	king-1	king	k	False	True
40002002013	of-1	of	m	False	False
40002002014	the-2	the		False	False
40002002015	Jews-1	Jews	k	False	True
40002002016	?-1	?		True	False
40002002017	For-1	For	k	False	True
40002002018	we-1	we	m	False	False
40002002019	have-1	have	m	False	False
40002002020	seen-1	seen	k	False	True
40002002021	his-1	his	k	False	True
40002002022	star-1	star	k	False	True
40002002023	at-1	at	k	False	True
40002002024	its-1	its		False	False
40002002025	rising-1	rising	k	False	True
40002002026	and-1	and	k	False	True
40002002027	have-2	have	m	False	False
40002002028	come-1	come	k	False	True
40002002029	to-1	to	m	False	False
40002002030	worship-1	worship	k	False	True
40002002031	him-1	him	k	False	True
40002002032	.-1	.		True	False
40002002033	”-1	”		True	False
40002003001	And-1	And	k	False	True
40002003002	{-1	{		True	False
40002003003	when-1	when	m	False	False
40002003004	}-1	}		True	False
40002003005	King-1	King	k	False	True
40002003006	Herod-1	Herod	k	False	True
40002003007	heard-1	heard	k	False	True
40002003008	{-2	{		True	False
40002003009	it-1	it		False	False
40002003010	}-2	}		True	False
40002003011	,-1	,		True	False
40002003012	he-1	he	m	False	False
40002003013	was-1	was	m	False	False
40002003014	troubled-1	troubled	k	False	True
40002003015	,-2	,		True	False
40002003016	and-1	and	k	False	True
40002003017	all-1	all	k	False	True
40002003018	Jerusalem-1	Jerusalem	k	False	True
40002003019	with-1	with	k	False	True
40002003020	him-1	him	k	False	True
40002003021	,-2	,		True	False
